Apa kabar	Narai kabar
cantik 	cantik
gendut	baseput
kurus	paringkung
cicak	tasak
tebal	tabal
tua	bakas
muda 	tabela
tipis	banipis
tikus	balawau
berpikir	bapikir
berawan	baun andau
wanita	bawi
laki-laki	hatue
basah	bisa
berbunyi	hamauh
rumah	huma
jalan	karatak
kering	keang
ikan asin	pundang
jauh	kejau
anda semua	ketun handiai
memeras	mahamis
bernapas	nahaseng
mengalir	mahasur
menguap	malalap
meludah	maluja
membakar	mamapoi
berburu	mandup
jawab	tumbah
mencium	mambewau
mengikat	mameteng
membeli	mamili
emas	amas
memasak	mampakasak
mematikan,membunuh	mampatei
mencuri	manakau
melihat	manampyah
menangis	manangis
memotong	manetek
menggali	mangali
membengkak	mangembang
menggaruk	menggayau
menggigit	mengirut
melempar	manjakah
menyembunyikan	manyahukan
membelah	manyila
mengunyah	manyipa
menusuk	manyuduk
mati	matei
berdiri	mendeng
berbaring	menter
memegang	mimbing
memilih	mintih
menanam	mimbul
menghisap	minyup
buruk,jelek	papa
sakit	pehe
jarum	pilus
laba-laba	sabangkang
udang	undang
kiri	sambil
kanan	gantau
tulang	tulang
tumbuh	tumbu
akar	uhar
pohon	upun
hujan	ujan
upak	kulit
bangun	misik
bantu	dohop
mengepel	malap
menulis	manulis
ayam	manuk
babi	bawui
monyet	bakei
hutang	butang
uang	duit
menyumpah	manyapa
garam	uyah
pahit	bapait
asam	masem
manis	manis
gula	gula
kopi	kopi
menulis	manulis
merokok	maroko
minum kopi	mangopi
mencuci piring	bapenyau
kaca	kaca
membaca	mambasa
mengambar	mengambar
mencuci pakaian	bapukan
mencontoh	nyuntu
menyanyi	manyanyi
suara	suara
suaramu	suaram
sukses	sukses
balon	galembung
sabun	sabun
kunci	kunci
kayu	kayu
bunga	kambang
menyiram	nyiram
beribadah	sembahyang
gereja	gareja
mesjid	masjid
rumah besar	betang
sepatu	sepatu
sendal	sandal
makanan	balut
sop	sop
berang-berang	dengen
beruang	bahuang
biawak	bajawak
buaya	bajai
harimau	haramaung
kambing	kambing
sapi	sapi
kelelawar	pandan
kelinci	kelinci
kepiting	katipkala
kerbau	hadangan
kodok	baraku
kura-kura	kelep
rusa	bajang
tupai	tupai
minta	laku
laris	payu
tidak laris	dia payu
berjualan	bajual
upah	upah
anting	bunel
cincin	tisin
gelang	galang
kalung	rantai
paku	paku
kompor	kompor
ayam	manu
batu	batu
telapak tangan	lukap
berbicara	bapander
boneka	boneka
mainan	usikan
harga	rega
pire	berapa
murah	murah
mahal	larang
hamil	batihi
melahirkan	manak
sekolah	sakula
pergi	tulak
buah	bua
kuburan	kuburan
daun	dawen
singkong	jawau
memarut	ngarudan
kelapa	enyuh
serai	sarai
jahe	layi
kunyit	henda
kemiri	kaminting
minyak goreng	undus
bayi	awau
menebang	maneweng
arang	buring
tali	tali
bambu	humbang
jendela	basengok
pintu	batunggang
papan	papan
bareng-bareng	hayak
tahan	nahan
mencuri	manakau
piring	piring
rumput	uru
senang	hanjak
membuat	nampa
panggil	tehau
timbul	lembut
sampan	jukung
terengah-engah	senge-senge
telapak kaki	lukap pai
kenapa	buhen
orang	uluh
cinta	sinta
kamu	ikau
kangen	taharu
ketemu	hasupa
kita	itah
rezeki	razaki
makan	kuman
bersih	barasih
kotor	papa
lompat	nangkajuk
enak	mangat
tidak enak 	dia mangat
susah	bahali
mudah	mangat
tenggelam	buseng
iri	bahiri
berat	babehat
ringan	mahian
jika	amun
hati	atei
baik	bahalap
tua 	bakas
muda	tabela
tajam	batajim
batumpul	batumpul
batu	batu 
lain	beken
darah	daha
dahan	edan
lemak	enyak
ekor	ikuh
daging	isi
perut	kanai
menembak	manembak
mengalahkan	manepe
membuka	mukei
lutut	utut
sementara	pandehan
keluarga	pahari
tutur kata	kotak pander
sakit	badarem
batuk	bajemuh
flu	baburek
dengar	hining
celana dalam	 kancot
gatal	bagatel
baseha	terbakar
kentut	ketut
kencing	mahit
belum 	hindai
benda	barang
jangan menggangu	ela mahawe
bertamu	maja
akan	untuk
darimana	bara kueh
ada	tege
kenal	senam
mandi	mandui
cuci pakaian	bapukan 
main 	musik 
angkat	metun 
lama	tahi
baru	haru
lupa 	dia bingat
pikun	ngalilu
sekali	sinde
lagi	hindai
belum	hindai
jadi	jadi
minta	laku
menebang	maneweng
basah	bisa
kering	keang
hantu	kambe
pingsan 	tujah
sakit	pehe
berapa	pire
nanti	kareh
dulu	bihin
rezeki	rajaki
remaja	bujang
menyusui	manusu
semua	uras
tunggu	nunggu
menimba	masib
dapat	supa
membuat	manampa
kue	wadai
sambal	sambal
lantai	laseh
menggepel	malap
nasi goreng	nasi goreng
tempat	uka
terima kasih	tarima kasih
berjudi	bajudi
singkong	jawau
bisa	tau
dekat	tukep
jauh	kejau
tuli	badengen
malas	kadian
bicara	bapander
hilang	nihau
tanah	petak
karet	gita
buku	buku
kandang	karambang
banjir	banjir
rebus	luntuh
jagung	jagung
keladi	kujang
menang	manang
kalah	kalah
berkelahi	hakalahi
bulan	bulan
bintang	bintang
cabe rawit	lombok
bawang	bawang
nasi	bari
panci	ketel
buang air besar	mamani
buang air kecil	mahit
lari	hadari
keluar	balua
meja	meja
kursi	kursi
tarik	narik
pusar	puser
tali	tali
arang	buring
kipas	kipas
celana dalam	cawat
membaca	membasa
pinjam	minjam
pulpen	pulpen
pensil	pensil
pintar	pintar
bodoh	humung
bayi	awau
rumput	uru
bercermin	bacuramin
langit	langit
matahari	matan andau
bertanya	misek
siapa	eweh
ikan gabus	behau
kelapa	enyuh
sibuk	deruh
marah	basingi
bersyukur	basyukur
berdoa	badoa 
tetap	tatap
semangat	samangat
kulihat	kuture
berani	bahanyi
peluk	maluk
cium	nyium
berbaring	menter
tersesat	layang
bersikap	bahadat
sebentar	sanjulun
tertidur	tapatiruh
mendengkur	mangerok
melambai	mangipai
tunjukkan	parahan
cerita	bakesah
ikuti	nuntut
beruntung	barazaki
sementara	pandehan
lemah	balemu
bernapas	nahaseng
menyerah	manyarah
begitu	kalote
ini	jituh
ayo	yo
lihat	ture
dia	iye
berjalan	mananjung
tanda tangan	tanda lenge
pelan-pelan	rangkah-rangkah
kiri	sambil
kanan	gantau
setuju	satuju
tidak setuju	dia satuju
lupa 	dia bingat
ingat	bingat
untuk 	akan
peduli	paduli
tahu	tawa
bangun	misik
tepat	tapat
bawa	imbit
bantu	manduhup
ini	jituh
pria	hatue
wanita	bawi
buru-buru	kajeng kisu
bergerak	bagarak
keringat	hebes
olahraga	olahraga
menyanyi	manyanyi
menunggu	manunggu
pekerjaan	gawi
mencari	manggawi
kehidupan	kahidupan
menyerah	manyarah
baik	harati
tertinggal	tapalihi
terlambat	lambat
pintar	pintar
mabuk	babusau
cepat	capat
manusia	kalonen
merusak	marusak
menulis	manulis
batal	balang
memperbaiki	ngambuah
mendengar	mahining
ketemu	sundau
berteriak	nangkariak
buta	babute
muntah	muta
bersyukur	basukur
semua	uras
sangat	toto
serahkan	nyarah
musik	lagu
muda	tabela
tua 	bakas
minta	laku
semoga	mundahan
selalu	tarus
ketemu	hasupa
permen	gulabatu
menggangu	manderuh
butuh	perlu
sering	rancak
pernah	puji
boleh 	tau
ramah	bajenta
pendiam	pambenyem
terlalu	lalau
paksa	maksa
sebutkan	nyewut
sentuh	mimbing
patah	bapulek
ramah	bajenta
tenggelam	leteng
kemarin	male
babungu	rakus
untukmu	akam
untukku	akangkuh
sana	kanih
semua	uras
kehabisan	kalepahan
senang	hanjak
teman	kawal
istri	sawang
suami	bana
sekarang	tuh ih
wayahtuh	wayahtuh
nakal	badungil
muda	mangur/tabela
tua 	bakas/batuwe
sekarang	tuh ih
bukan	beken
bercanda	hureh
mencari	manggau
sempurna	sampurna
tidak ada	jatun
lelah	uyuh
garam	uyah
habis	lepah
bertahan	batahan
bertahap	batahap
masih	masih
hidup	belum
mati	matei
mengambil	manduan
pernah	puji
tidak pernah	dia puji
kamu 	ikau
mu	muh
warna	warna
begini	kutuh
begitu	kalute
sembuyi	nyahukan
buat	akan
membuat	manampa
disebut	inyewut
kuminum	ihupkuh
harus	harus
malu	mahamen
kapan	hampea
rasa	angat
bermalam	bamalem
lengah	laya
sendiri 	kabuat
tempat 	eka
mengundang	marawei
menyuruh	manyuhu
bersih	barasih
menggunakan	mahapa
bantuan	panduhup
bawa	imbit
nama	ara
namaku	arangkuh
api 	apui
bermain	busik
terlalu	lalau
keterlaluan	lalau
berpikir	mamikir
menyalahkan	manyala
menyalahkan mu	manyala ikau
diam	benyem
menerima	narima
membantu	manduhup
tidak bisa	dia tau
rakus	babungu
kunyit	henda
jahe	layi
air	danum
seperti 	kilau
panas	balasut
dingin	sadingen
bukan	beken
sudahkah	jadikah
bersin	banyen
batuk	bajemuh
mendengkur	mangerok
mimpi	manupi
nasi	bari
muncul	lembut
rumput	uru
baju	baju
celana 	salawar
melipat	malipet
selimut	kahuwut
memeras	mahamis
menyapu	mamapas
terkejut	tarewen
semakin	sasar
turun	muhun
menukar	mahuruf
tukar	huruf
memalukan	mampahawen
ringan	mahian
mulai	nampara
saja 	ih
tidak mau	dia hakun
basah	bisa
telur	tanteluh
untukku	akangkuh
gatal	bagatel
jam berapa mulai	jam pire mulai
